ymd,high,low,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2015-08-01,38,29,晴,南风,微风,,,
2015-08-02,38,29,晴,西南风~南风,微风,,,
2015-08-03,38,28,晴,南风,微风~3-4级,,,
2015-08-04,38,28,晴,南风,微风,,,
2015-08-05,37,27,晴~多云,东南风,微风,,,
2015-08-06,36,27,晴~多云,东南风,微风,,,
2015-08-07,34,28,阵雨,东风,3-4级,,,
2015-08-08,32,27,阵雨,东风~东南风,3-4级~4-5级,,,
2015-08-09,31,28,中雨~阵雨,东风~东南风,3-4级,,,
2015-08-10,30,27,中雨,东南风~南风,微风,,,
2015-08-11,29,24,阵雨,南风~西风,微风,,,
2015-08-12,30,25,多云,北风~东南风,微风,,,
2015-08-13,32,25,多云,东南风,微风,,,
2015-08-14,32,25,多云~小雨,东南风,微风,,,
2015-08-15,31,26,阴~阵雨,东风,微风,,,
2015-08-16,29,25,阵雨~多云,东北风,微风,,,
2015-08-17,31,25,多云,东北风,微风,,,
2015-08-18,31,25,多云,东风,微风,,,
2015-08-19,33,26,多云,东风~东南风,微风,,,
2015-08-20,32,25,小雨,南风~西北风,微风,,,
2015-08-21,29,24,阵雨~中雨,东北风,微风,,,
2015-08-22,25,22,中雨,北风~东北风,微风,,,
2015-08-23,26,23,大雨~中雨,东北风,微风~3-4级,,,
2015-08-24,26,23,暴雨~小雨,东北风~北风,3-4级~微风,,,
2015-08-25,29,23,多云,西北风,微风,,,
2015-08-26,29,24,多云,西风,微风,,,
2015-08-27,31,24,雷阵雨,西风,微风,,,
2015-08-28,31,24,多云,东风~东北风,微风,,,
2015-08-29,30,23,多云,东北风~东风,微风,,,
2015-08-30,30,23,多云,东北风,微风,,,
2015-08-31,30,24,多云,东北风,微风,,,
2015-09-01,31,24,阵雨,东风,微风,,,
2015-09-02,30,24,多云,西北风,微风,,,
2015-09-03,31,24,多云,西北风,微风,,,
2015-09-04,31,24,多云~大雨,东南风~西南风,微风~3-4级,,,
2015-09-05,28,24,中雨~阴,西南风~西北风,4-5级~3-4级,,,
2015-09-06,29,23,多云~阵雨,西北风~北风,微风,,,
2015-09-07,29,23,阴~多云,东北风,微风,,,
2015-09-08,29,22,多云,东北风,微风,,,
2015-09-09,29,22,晴~多云,东北风,微风,,,
2015-09-10,29,22,晴,北风,微风,,,
2015-09-11,30,22,多云~小雨,西北风,微风,,,
2015-09-12,25,20,小雨~多云,西北风,微风,,,
2015-09-13,26,21,多云~阴,东北风~东风,微风,,,
2015-09-14,27,22,多云~阵雨,东风,微风,,,
2015-09-15,23,20,阵雨,东北风,微风,,,
2015-09-16,26,20,小雨~多云,东北风,微风,,,
2015-09-17,28,21,多云,东北风,微风,,,
2015-09-18,27,21,多云,东北风,微风,,,
2015-09-19,28,21,多云,东北风,微风,,,
2015-09-20,27,21,阴~多云,东北风,微风,,,
2015-09-21,29,22,多云,东风,微风,,,
2015-09-22,28,22,小雨~中雨,东风~东南风,微风,,,
2015-09-23,25,21,小雨~多云,西北风,微风,,,
2015-09-24,27,22,多云~小雨,西北风~北风,微风,,,
2015-09-25,27,22,阴~多云,北风,微风,,,
2015-09-26,29,21,多云,东北风,微风,,,
2015-09-27,28,22,晴~多云,东北风,微风~3-4级,,,
2015-09-28,28,23,小雨~中雨,东北风,3-4级,,,
2015-09-29,24,22,中雨~小雨,东风,4-5级,,,
2015-09-30,29,24,阵雨~中雨,南风~西南风,3-4级,,,
2015-10-01,25,17,小雨~多云,西北风,4-5级~3-4级,,,
2015-10-02,25,18,晴,东南风~南风,微风,,,
2015-10-03,27,20,晴~多云,东南风~东风,微风,,,
2015-10-04,25,20,阵雨~中雨,东风,微风,,,
2015-10-05,21,18,小雨,东风,微风,,,
2015-10-06,24,20,阴,东风,微风,,,
2015-10-07,24,20,小雨,东南风,微风,,,
2015-10-08,22,18,小雨,东北风,微风,,,
2015-10-09,24,17,阴~多云,北风~西风,微风,,,
2015-10-10,24,13,多云~晴,西风~西北风,微风~3-4级,,,
2015-10-11,21,13,晴,西北风,微风,,,
2015-10-12,23,15,晴,西北风~北风,微风,,,
2015-10-13,24,16,晴,西北风~东风,微风,,,
2015-10-14,24,17,多云~晴,东南风,微风,,,
2015-10-15,26,18,晴,东南风,微风,,,
2015-10-16,26,18,晴,东北风,微风,,,
2015-10-17,25,18,晴~多云,东北风,微风,,,
2015-10-18,24,18,多云,东北风,微风,,,
2015-10-19,25,18,多云,东北风,微风,,,
2015-10-20,24,19,多云,东北风,微风,,,
2015-10-21,26,19,晴~多云,东北风,微风,,,
2015-10-22,26,20,晴~多云,东北风,微风,,,
